covid_date,daily_cases
1/22/2020,1
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,3
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,2
2/1/2020,1
2/2/2020,0
2/3/2020,3
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,1
2/12/2020,0
2/13/2020,1
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,2
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,1
2/28/2020,0
2/29/2020,8
3/1/2020,6
3/2/2020,23
3/3/2020,25
3/4/2020,20
3/5/2020,66
3/6/2020,47
3/7/2020,64
3/8/2020,147
3/9/2020,225
3/10/2020,290
3/11/2020,278
3/12/2020,414
3/13/2020,267
3/14/2020,338
3/15/2020,1237
3/16/2020,755
3/17/2020,2797
3/18/2020,3419
3/19/2020,4777
3/20/2020,3528
3/21/2020,5836
3/22/2020,8821
3/23/2020,10934
3/24/2020,10115
3/25/2020,13987
3/26/2020,16916
3/27/2020,17965
3/28/2020,19332
3/29/2020,18251
3/30/2020,22635
3/31/2020,22562
4/1/2020,27043
4/2/2020,26135
4/3/2020,34864
4/4/2020,30683
4/5/2020,26065
4/6/2020,43438
4/7/2020,21597
4/8/2020,31534
4/9/2020,31705
4/10/2020,33251
4/11/2020,33288
4/12/2020,29145
4/13/2020,24156
4/14/2020,26385
4/15/2020,27158
4/16/2020,29164
4/17/2020,29002
4/18/2020,29916
4/19/2020,25995
4/20/2020,29468
4/21/2020,26490
4/22/2020,25858
4/23/2020,37144
4/24/2020,29873
4/25/2020,33161
4/26/2020,29256
4/27/2020,23371
4/28/2020,23901
4/29/2020,25512
4/30/2020,31787
5/1/2020,30369
5/2/2020,29794
5/3/2020,29763
5/4/2020,19138
5/5/2020,22303
5/6/2020,23366
5/7/2020,30861
5/8/2020,25996
5/9/2020,26660
5/10/2020,23792
5/11/2020,18106
5/12/2020,21467
5/13/2020,20869
5/14/2020,27191
5/15/2020,22977
5/16/2020,31967
5/17/2020,13284
5/18/2020,24481
5/19/2020,23405
5/20/2020,22860
5/21/2020,20522
5/22/2020,24268
5/23/2020,26229
5/24/2020,15342
5/25/2020,24958
5/26/2020,16429
5/27/2020,19680
5/28/2020,21304
5/29/2020,18123
5/30/2020,23553
5/31/2020,26177
6/1/2020,14790
6/2/2020,24955
6/3/2020,14676
6/4/2020,20555
6/5/2020,29034
6/6/2020,29214
6/7/2020,17919
6/8/2020,17598
6/9/2020,17376
6/10/2020,20486
6/11/2020,21744
6/12/2020,22317
6/13/2020,25468
6/14/2020,21957
6/15/2020,18577
6/16/2020,28392
6/17/2020,22834
6/18/2020,27828
6/19/2020,32218
6/20/2020,32411
6/21/2020,27616
6/22/2020,26657
6/23/2020,34313
6/24/2020,37667
6/25/2020,40588
6/26/2020,44602
